,state,year,prisoner_count,state_population,year_state
650,PENNSYLVANIA,2013.0,49971.0,12781296,2013_PENNSYLVANIA
651,RHODE ISLAND,2013.0,3168.0,1053354,2013_RHODE ISLAND
652,SOUTH CAROLINA,2013.0,21534.0,4771929,2013_SOUTH CAROLINA
653,SOUTH DAKOTA,2013.0,3612.0,845510,2013_SOUTH DAKOTA
654,TENNESSEE,2013.0,20758.0,6497269,2013_TENNESSEE
655,TEXAS,2013.0,155377.0,26505637,2013_TEXAS
656,UTAH,2013.0,5382.0,2902787,2013_UTAH
657,VERMONT,2013.0,2078.0,626855,2013_VERMONT
658,VIRGINIA,2013.0,29985.0,8270345,2013_VIRGINIA
659,WASHINGTON,2013.0,17760.0,6973742,2013_WASHINGTON
660,WEST VIRGINIA,2013.0,5708.0,1853595,2013_WEST VIRGINIA
661,WISCONSIN,2013.0,22443.0,5742953,2013_WISCONSIN
662,WYOMING,2013.0,2288.0,583223,2013_WYOMING
664,ALABAMA,2014.0,26145.0,4849377,2014_ALABAMA
